Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Social Policy,PG Taught,"1,192",345,192,"1,084",415,202,"1,159",458,212,"1,092",425,215
Social Policy,MPhil,156,15,8,136,16,10,110,5,*,98,12,10
Sociology,UG Degree,352,160,36,458,176,58,525,112,53,567,123,49
Sociology,UG General ..,10,8,7,9,8,*,6,6,5,*,*,*
Sociology,PG Taught,"1,442",473,241,"1,640",562,239,"1,772",518,259,"1,654",531,266
Sociology,MPhil,174,16,10,142,17,13,141,12,6,120,13,5
Statistics,UG Degree,944,275,108,976,285,125,"1,507",249,153,"1,620",289,152
Statistics,UG General ..,12,12,10,14,14,*,18,17,12,14,10,9
Statistics,PG Taught,"2,015",238,98,"2,102",305,129,"2,071",260,106,"1,822",298,129
Statistics,MPhil,52,13,9,31,7,*,52,13,*,57,15,8
Unknown,UG General ..,18,0,0,*,0,0,*,*,0,*,0,0
